sku,img,title,price,price_sale,cat,desc
,/fileadmin/_processed_/csm_21026759_f3e8e2e141.jpg,"Ugaona garnitura MAJA 11 LUX"," 93.320,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. "
,/fileadmin/_processed_/csm_21026610_f1237dab25.jpg,"Francuski ležaj BARI"," 97.320,00 RSD ",,," Žičano jezgro i sunđer. Dve fioke. "
,/fileadmin/_processed_/csm_21025079_b504057cf0.jpg,"Ugaona garnitura BRAZIL LUX"," 97.320,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21029846_10f19dcb22.jpg,"Ugaona garnitura JANA"," 97.320,00 RSD ",,," Sunđer. "
,/fileadmin/_processed_/csm_21020241_2a574341c4.jpg,"Ugaona garnitura BIANCA"," 99.987,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. "
,/fileadmin/_processed_/csm_21027484_8b773607bd.jpg,"Ugaona garnitura NICA"," 105.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21030150_0fbc452094.jpg,"Ugaona garnitura PARTY"," 106.653,00 RSD ",,,"Tačan naziv dezena je: naslon/rukonaslon štof tamno siva bergamo 97, sedište/veliki jastuk štof siva bergamo 92. Ugaona garnitura PARTY je idealno rešenje za savremene, moderne domove i opremanje dnevnog boravka. Njen najveći benefit je velika površina koja se može iskoristiti za sedenje, pa je odličan izbor za višečlane porodice, kao i za sve one koji vole druženja u svom domu."
,/fileadmin/_processed_/csm_21030301_b67e00d2d1.jpg,"Ugaona garnitura RINNO"," 106.653,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21030309_1fb683f982.jpg,"Ugaona garnitura TERMIS"," 106.653,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21025966_d5ddcc36c7.jpg,"Ugaona garnitura MARISA F"," 106.653,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21021353_a37460075c.jpg,"Garnitura T/rDF ABC"," 110.653,00 RSD ",,," Žičano jezgro i sunđer. Klik-klak mehanizam. Tri kutije za posteljinu. "
,/fileadmin/_processed_/csm_21027613_838e368269.jpg,"Francuski ležaj LONDON"," 111.987,00 RSD ",,," Žičano jezgro. Dve fioke. "
,/fileadmin/_processed_/csm_21018858_0541fa2bae.jpg,"Ugaona garnitura KARMEN"," 111.987,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. "
,/fileadmin/_processed_/csm_21022710_a60af4c6de.jpg,"Ugaona garnitura VALENSIJA N"," 111.987,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21030313_1ee7b89123.jpg,"Ugaona garnitura TISSO"," 113.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21021563_2f54b0ee30.jpg,"Ugaona garnitura KATJA"," 114.653,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21026761_4c1417e5d0.jpg,"Ugaona garnitura Maja komfor"," 114.653,00 RSD ",,," Sunđer. Klik-klak mehanizam. Dve kutije za posteljinu. "
,/fileadmin/_processed_/csm_21025964_b108c8b540.jpg,"Ugaona garnitura LAGUNA F"," 115.987,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21030918_4f5364afe6.jpg,"Ugaona garnitura ERGO XL"," 119.986,00 RSD ",,,"Tačan naziv dezena je: Sedište/naslon/rukonaslon štof braon preston 23, trosed levo, ugao desno. Ugaona garnitura ERGO XL, sa desno pozicioniranim uglom,&nbsp; pravo je enterijersko osveženje i predstavnik savremenog stila za uređenje enterijera. Pretvara se u ležaj sa površinom za spavanje dimenzija 240x120 cm iskočnim mehanizmom. Sastav čine metalna val opruga i gurtna u sedalnom delu i gurtna u naslonu. Poseduje jednu fioku za odlaganje posteljine i ima podesive glavonaslone.

"
,/fileadmin/_processed_/csm_21017371_eeb68f1d5c.jpg,"Ugaona garnitura MAXIMA LUX"," 119.987,00 RSD ",,," Sunđer. Val opruga. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21016631_03ff8099c4.jpg,"Ugaona garnitura SIMAR"," 119.986,00 RSD ",,," Žičano jezgro i sunđer. Jedna kutija za posteljinu. Klik-klak mehanizam. Univerzalni ugao. "
,/fileadmin/_processed_/csm_21029694_0a9dd66e22.jpg,"Ugaona garnitura TREVISO XL"," 119.986,00 RSD ",,,"Tačan naziv dezena je: štof svetlo braon dora 22. Ugaona garnitura TREVISO XL, sa trosedom levo i uglom desno, karakteristična je po besprekornoj udobnosti koju donosi val opruga i gurtna u delu za sedenje. Ovaj model ugaone garniture idealan je za dnevne sobe koje se lako mogu transformisati u kutak za odmor zahvaljujući pretvaranju u ležaj sa površinom za spavanje dimenzija 240x120 cm. Poseban benefit koj ugaona garnitura TREVISO XL poseduje upravo je fioka za odlaganje posteljine."
,/fileadmin/_processed_/csm_21029321_63c28f19ce.jpg,"Garnitura NICA T/rDF"," 119.986,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21025003_5d20fbf2fe.jpg,"Ugaona garnitura BARSELONA F"," 125.320,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. "
,/fileadmin/_processed_/csm_21031016_08536a45cf.jpg,"Ugaona garnitura MOFI"," 126.653,00 RSD ",,,"Tačan naziv dezena je: naslon/sedište/rukonaslon/naslon/ štof bež jasmine 21, mali jastuk štof dezen trogir 41, nogar bela, trosed desno. Ugaona garnitura MOFI je dizajnirana tako da je&nbsp; idealan izbor za ljubitelje visokog stila. Karakteristična je po besprekornoj udobnosti koju donosi sunđer debljine 14 cm na val opruzi. Garnitura se pretvara u ležaj za spavanje dimenzija 120x190 cm uz pomoć klik-klak mehanizma i poseduje kutiju za odlaganje posteljine."
,/fileadmin/_processed_/csm_21022066_66f8646504.jpg,"Garnitura TINA T/rDF"," 126.653,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21028552_605d2ae075.jpg,"Sofa NIKA"," 139.986,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21026765_82f7745c81.jpg,"Garnitura MAJA 2 T/rdf"," 139.986,00 RSD ",,," Sunđer. Klik-klak mehanizam. Dve kutije za posteljinu. "
,/fileadmin/_processed_/csm_21029725_4c20c3908c.jpg,"Ugaona garnitura RUBY L"," 145.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21022583_62b6fc282f.jpg,"Garnitura TARA LUX T/rDF"," 146.653,00 RSD ",,," Sunđer. Gurtna. Latoflex mehanizam. Gurtne u naslonu. "
,,,,,,
,/fileadmin/_processed_/csm_21022676_ab41bde370.jpg,"Garnitura PREMIER T/rDF"," 146.653,00 RSD ",,," Sunđer. Gurtna. Rotiranje naslona. "
,/fileadmin/_processed_/csm_21016467_fdd365b176.jpg,"Garnitura ALBA T/rDF"," 147.986,00 RSD ",,," Žičano jezgro i sunđer. Klik-klak mehanizam. Tri kutije za posteljinu. "
,/fileadmin/_processed_/csm_21025965_37f7f96a22.jpg,"Ugaona garnitura NORA F"," 153.320,00 RSD ",,," Soft sunđer. Val opruga. Iskočni mehanizam. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21029727_42fad0bcca.jpg,"Ugaona garntiura ANNA"," 165.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21027475_3355ebe2f6.jpg,"Garnitura HAVANA T/rDF"," 165.320,00 RSD ",,,"*Napomena: Izbor štofova po štof karti"
,/fileadmin/_processed_/csm_21028548_05cf6075ed.jpg,"Ugaona garnitura Pandora L"," 170.653,00 RSD ",,," Sunđer. Val opruga. Iskočni mehanizam. "
